word,dimension,valence,source_repo,source_file
conscientious,warmth,1,fraser,BWS_annotations.csv
cooperative,warmth,1,fraser,BWS_annotations.csv
corrupt,warmth,1,fraser,BWS_annotations.csv
creative,warmth,1,fraser,BWS_annotations.csv
criminal,warmth,1,fraser,BWS_annotations.csv
critical,warmth,1,fraser,BWS_annotations.csv
cunning,warmth,1,fraser,BWS_annotations.csv
daring,warmth,1,fraser,BWS_annotations.csv
dedicated,warmth,1,fraser,BWS_annotations.csv
dependent,warmth,1,fraser,BWS_annotations.csv
determined,warmth,1,fraser,BWS_annotations.csv
diffident,warmth,1,fraser,BWS_annotations.csv
disagreeable,warmth,1,fraser,BWS_annotations.csv
discriminating,warmth,1,fraser,BWS_annotations.csv
dishonest,warmth,1,fraser,BWS_annotations.csv
dishonorable,warmth,1,fraser,BWS_annotations.csv
disliked,warmth,1,fraser,BWS_annotations.csv
disloyal,warmth,1,fraser,BWS_annotations.csv
distant,warmth,1,fraser,BWS_annotations.csv
docile,warmth,1,fraser,BWS_annotations.csv
dominant,warmth,1,fraser,BWS_annotations.csv
dominated,warmth,1,fraser,BWS_annotations.csv
dominating,warmth,1,fraser,BWS_annotations.csv
double-faced,warmth,1,fraser,BWS_annotations.csv
doubtful,warmth,1,fraser,BWS_annotations.csv
dumb,warmth,1,fraser,BWS_annotations.csv
educated,warmth,1,fraser,BWS_annotations.csv
effective,warmth,1,fraser,BWS_annotations.csv
efficient,warmth,1,fraser,BWS_annotations.csv
egoistic,warmth,1,fraser,BWS_annotations.csv
energetic,warmth,1,fraser,BWS_annotations.csv
evil,warmth,1,fraser,BWS_annotations.csv
exploitative,warmth,1,fraser,BWS_annotations.csv
fair,warmth,1,fraser,BWS_annotations.csv
faithful,warmth,1,fraser,BWS_annotations.csv
fake,warmth,1,fraser,BWS_annotations.csv
felicitous,warmth,1,fraser,BWS_annotations.csv
foolish,warmth,1,fraser,BWS_annotations.csv
forgiving,warmth,1,fraser,BWS_annotations.csv
forthcoming,warmth,1,fraser,BWS_annotations.csv
friendly,warmth,1,fraser,BWS_annotations.csv
funny,warmth,1,fraser,BWS_annotations.csv
generous,warmth,1,fraser,BWS_annotations.csv
genuine,warmth,1,fraser,BWS_annotations.csv
good,warmth,1,fraser,BWS_annotations.csv
good-natured,warmth,1,fraser,BWS_annotations.csv
graceful,warmth,1,fraser,BWS_annotations.csv
hardhearted,warmth,1,fraser,BWS_annotations.csv
helpful,warmth,1,fraser,BWS_annotations.csv
helpless,warmth,1,fraser,BWS_annotations.csv
homophobic,warmth,1,fraser,BWS_annotations.csv
honest,warmth,1,fraser,BWS_annotations.csv
honorable,warmth,1,fraser,BWS_annotations.csv
hospitable,warmth,1,fraser,BWS_annotations.csv
hostile,warmth,1,fraser,BWS_annotations.csv
humane,warmth,1,fraser,BWS_annotations.csv
humorous,warmth,1,fraser,BWS_annotations.csv
ignorant,warmth,1,fraser,BWS_annotations.csv
illogical,warmth,1,fraser,BWS_annotations.csv
imaginative,warmth,1,fraser,BWS_annotations.csv
immoral,warmth,1,fraser,BWS_annotations.csv
impolite,warmth,1,fraser,BWS_annotations.csv
impractical,warmth,1,fraser,BWS_annotations.csv
impulsive,warmth,1,fraser,BWS_annotations.csv
inactive,warmth,1,fraser,BWS_annotations.csv
incapable,warmth,1,fraser,BWS_annotations.csv
incompetent,warmth,1,fraser,BWS_annotations.csv
inconsiderate,warmth,1,fraser,BWS_annotations.csv
incorrupt,warmth,1,fraser,BWS_annotations.csv
independent,warmth,1,fraser,BWS_annotations.csv
industrious,warmth,1,fraser,BWS_annotations.csv
ineffective,warmth,1,fraser,BWS_annotations.csv
inefficient,warmth,1,fraser,BWS_annotations.csv
inept,warmth,1,fraser,BWS_annotations.csv
inhospitable,warmth,1,fraser,BWS_annotations.csv
